min_deviation,max_deviation,default_volatility,tau,first_advantage,rating_periods_per_day,avg_deviance
45,400,0.09,1.2,12,0.21436,0.290927
45,390,0.09,1.2,12,0.21436,0.290884
45,380,0.09,1.2,12,0.21436,0.290841
45,370,0.09,1.2,12,0.21436,0.290799
45,360,0.09,1.2,12,0.21436,0.290757
45,350,0.09,1.2,12,0.21436,0.290716
45,340,0.09,1.2,12,0.21436,0.290676
45,330,0.09,1.2,12,0.21436,0.290637
45,320,0.09,1.2,12,0.21436,0.290600
45,310,0.09,1.2,12,0.21436,0.290564
45,300,0.09,1.2,12,0.21436,0.290531
# ---
# Sample Blitz rating of thibault: 1800.0 (rd: 49.967, vola: 0.06691)
# Sample Blitz rating of german11: 1410.6 (rd: 45.000, vola: 0.09927)
# Sample Bullet rating of revoof: 1750.7 (rd: 121.136, vola: 0.08189)
# Sample Bullet rating of drnykterstein: 2864.1 (rd: 78.638, vola: 0.06511)
# Sample Bullet rating of penguingim1: 3022.8 (rd: 45.000, vola: 0.06917)
# Sample Blitz rating of lance5500: 2693.0 (rd: 50.942, vola: 0.05565)
# Sample Blitz rating of somethingpretentious: 2179.0 (rd: 45.000, vola: 0.04558)
# Sample Blitz rating of tbest: 2356.9 (rd: 57.778, vola: 0.07173)
# Sample Classical rating of igormezentsev: 2471.4 (rd: 63.372, vola: 0.08634)
# ---
# Estimated UltraBullet distribution: p1=1371.9 p10=1545.5 p50=1808.9 p90=2226.3 p99=2338.5, avg=1836.2
# Estimated Bullet distribution: p1=989.3 p10=1259.7 p50=1721.8 p90=2138.3 p99=2487.1, avg=1710.9
# Estimated Blitz distribution: p1=970.9 p10=1226.8 p50=1662.5 p90=2044.9 p99=2374.0, avg=1651.5
# Estimated Rapid distribution: p1=855.3 p10=1123.4 p50=1503.8 p90=1845.8 p99=2087.1, avg=1494.0
# Estimated Classical distribution: p1=1289.7 p10=1377.1 p50=1611.3 p90=1838.0 p99=1937.1, avg=1616.5
# Estimated Correspondence distribution: p1=1707.8 p10=1707.8 p50=1860.0 p90=2246.7 p99=2246.7, avg=1938.2
# ---
# Distinct players: 18198891
# Processed encounters: 6012388632 (last at: 2024-09-30 23:59:54)
# Total errors: 0
# ---
