white,black,result,utc_date_time,time_control
cheesedout,t4nk,1-0,2013-01-01 02:07:51,60+0
sigognac,mdandres_94,1-0,2013-01-01 02:07:56,120+1
oleh77,israelcravchik,0-1,2013-01-01 02:08:10,1800+8
cheesedout,t4nk,1-0,2013-01-01 02:08:23,0+1
sokol,ptdhina,0-1,2013-01-01 02:08:38,120+2
rookierook,legendary_erfan,1-0,2013-01-01 02:08:44,60+0
vanillashamanilla,lamobot,0-1,2013-01-01 02:08:45,180+3
t4nk,cheesedout,0-1,2013-01-01 02:09:59,0+1
metrolog,quentono,1-0,2013-01-01 02:10:07,840+0
legendary_erfan,rookierook,0-1,2013-01-01 02:10:41,60+0
theweebles,rasmussenesq,0-1,2013-01-01 02:10:44,480+0
hephesto,boss92,1-0,2013-01-01 02:10:54,60+0
ow055,marzinkus,0-1,2013-01-01 02:11:38,480+8
alexey_k,adamsrj,0-1,2013-01-01 02:12:08,1560+30
cheesedout,boss92,1-0,2013-01-01 02:13:24,60+0
rookierook,legendary_erfan,1-0,2013-01-01 02:13:39,60+0
sigognac,israelcravchik,1-0,2013-01-01 02:13:56,120+1
dannylucano,alitadepollo,0-1,2013-01-01 02:13:59,600+8
namesnik,ptdhina,1-0,2013-01-01 02:14:03,120+0
qazmlpvgyhn,gsmaldone,0-1,2013-01-01 02:15:02,240+4
ptdhina,namesnik,0-1,2013-01-01 02:15:47,120+0
hephesto,cheesedout,1-0,2013-01-01 02:16:03,60+0
legendary_erfan,rookierook,0-1,2013-01-01 02:16:18,60+0
stech,vanillashamanilla,0-1,2013-01-01 02:17:30,540+0
khan,melinda,0-1,2013-01-01 02:18:01,300+8
rookierook,legendary_erfan,0-1,2013-01-01 02:18:30,60+0
cheesedout,t4nk,0-1,2013-01-01 02:11:05,0+1
ptdhina,shaktimaan,0-1,2013-01-01 02:12:05,300+0
metrolog,quentono,1-0,2013-01-01 02:18:38,840+0
theweebles,boss92,0-1,2013-01-01 02:19:05,60+0
zlate,lamobot,1/2-1/2,2013-01-01 02:19:16,180+3
hephesto,cheesedout,1-0,2013-01-01 02:20:13,60+0
namesnik,ptdhina,0-1,2013-01-01 02:20:22,120+0
sebastian44,rundll8,1-0,2013-01-01 02:21:07,300+5
sign402,alexey_k,1-0,2013-01-01 02:21:35,900+10
israelcravchik,shueardm,0-1,2013-01-01 02:21:43,600+0
marzinkus,ow055,1-0,2013-01-01 02:22:22,480+8
theweebles,naitero_nagasaki,0-1,2013-01-01 02:22:25,480+0
legendary_erfan,boss92,0-1,2013-01-01 02:23:00,60+0
cheesedout,hephesto,1-0,2013-01-01 02:23:01,60+0
gsmaldone,adamsrj,0-1,2013-01-01 02:23:39,1560+30
sebastian44,richard_xii,1-0,2013-01-01 02:25:15,300+5
legendary_erfan,ptdhina,0-1,2013-01-01 02:25:42,60+0
hephesto,cheesedout,0-1,2013-01-01 02:25:57,60+0
namesnik,cougar1,1-0,2013-01-01 02:27:37,120+0
thunder87,adamsrj,0-1,2013-01-01 02:28:04,1560+30
cheesedout,hephesto,1-0,2013-01-01 02:28:18,60+0
legendary_erfan,ptdhina,1-0,2013-01-01 02:28:35,60+0
christlovesu2,naitero_nagasaki,0-1,2013-01-01 02:29:21,180+2
adan65v,quentono,0-1,2013-01-01 02:31:43,840+0
ben_dover,namesnik,0-1,2013-01-01 02:32:14,60+0
richard_xii,lamobot,0-1,2013-01-01 02:32:37,180+3
sebastian44,alexey_k,1-0,2013-01-01 02:33:02,300+5
sport,cougar1,0-1,2013-01-01 02:32:44,300+3
lamobot,adamsrj,0-1,2013-01-01 02:33:42,180+3
crazy2013,blizz,1-0,2013-01-01 02:34:27,240+0
crazy2013,rookierook,1-0,2013-01-01 02:37:43,300+0
khan,kramer,1-0,2013-01-01 02:38:05,300+8
pskpress,theweebles,0-1,2013-01-01 02:38:46,900+0
sport,cougar1,1-0,2013-01-01 02:39:40,300+3
jakethedog,ptdhina,0-1,2013-01-01 02:41:02,120+0
adamsrj,lamobot,1-0,2013-01-01 02:41:34,180+3
ben_dover,cheesedout,1-0,2013-01-01 02:41:07,60+0
ptdhina,naitero_nagasaki,0-1,2013-01-01 02:33:42,180+2
marzinkus,alexey_k,1-0,2013-01-01 02:41:56,480+8
crazy2013,naitero_nagasaki,0-1,2013-01-01 02:42:02,300+0
sebastian44,vanillashamanilla,1-0,2013-01-01 02:42:44,300+5
opptimyst,qazmlpvgyhn,1-0,2013-01-01 02:43:14,120+0
cheesedout,ben_dover,1-0,2013-01-01 02:43:36,60+0
namesnik,ow055,0-1,2013-01-01 02:44:57,180+1
hephesto,ptdhina,1-0,2013-01-01 02:46:04,120+0
adan65v,quentono,0-1,2013-01-01 02:46:46,840+0
ben_dover,cheesedout,0-1,2013-01-01 02:46:47,60+0
cheesedout,ben_dover,0-1,2013-01-01 02:48:26,60+0
khan,la-la-la,0-1,2013-01-01 02:48:52,1320+8
crazy2013,cougar1,1-0,2013-01-01 02:50:22,300+0
ben_dover,cheesedout,0-1,2013-01-01 02:50:35,60+0
namesnik,naitero_nagasaki,0-1,2013-01-01 02:53:01,60+0
alexey_k,quentono,1-0,2013-01-01 02:53:47,840+0
namesnik,cheesedout,0-1,2013-01-01 02:54:57,60+0
blizz,jesse,0-1,2013-01-01 02:54:02,240+0
cheesedout,namesnik,1-0,2013-01-01 02:57:26,60+0
cougar1,naitero_nagasaki,0-1,2013-01-01 02:58:54,180+2
namesnik,cheesedout,0-1,2013-01-01 02:59:30,60+0
jesse,ow055,0-1,2013-01-01 03:02:03,180+1
cheesedout,namesnik,0-1,2013-01-01 03:02:09,60+0
namesnik,cheesedout,0-1,2013-01-01 03:05:00,60+0
cheesedout,namesnik,1-0,2013-01-01 03:07:09,60+0
metrolog,vblack,0-1,2013-01-01 03:07:19,180+15
naitero_nagasaki,cougar1,1-0,2013-01-01 03:07:28,180+2
blizz,jesse,1/2-1/2,2013-01-01 03:07:31,240+0
writinggambler,lewisiii,1-0,2013-01-01 03:08:09,1800+30
ben_dover,cheesedout,1-0,2013-01-01 03:09:49,60+0
luuletaja,spaces,0-1,2013-01-01 03:10:52,300+8
sandee,ow055,0-1,2013-01-01 03:11:54,180+1
cheesedout,ben_dover,1-0,2013-01-01 03:12:26,60+0
ben_dover,cheesedout,0-1,2013-01-01 03:13:54,60+0
alitadepollo,quentono,1-0,2013-01-01 03:14:34,840+0
xmaschess,quentono,1-0,2013-01-01 03:05:35,840+0
namesnik,blizz,0-1,2013-01-01 03:14:58,240+0
xmaschess,cougar1,1-0,2013-01-01 03:15:09,600+0
raptureinvenice,pozitiv,1-0,2013-01-01 03:16:05,840+14
cheesedout,ben_dover,1-0,2013-01-01 03:16:14,60+0
maklaud695,ow055,1-0,2013-01-01 03:17:54,180+1
ben_dover,cheesedout,1-0,2013-01-01 03:18:36,60+0
metrolog,vblack,1-0,2013-01-01 03:20:19,180+15
cheesedout,ben_dover,0-1,2013-01-01 03:21:25,60+0
raptureinvenice,milkyway,1-0,2013-01-01 03:11:59,600+10
writinggambler,viktoriya,1-0,2013-01-01 03:22:48,1800+30
ben_dover,cheesedout,1-0,2013-01-01 03:24:17,60+0
maklaud695,cadmandior,1-0,2013-01-01 03:25:16,240+1
cheesedout,ben_dover,1-0,2013-01-01 03:26:37,60+0
dangercat,quentono,0-1,2013-01-01 03:26:53,840+0
marzinkus,crazy2013,1-0,2013-01-01 03:28:25,360+8
ben_dover,cheesedout,1-0,2013-01-01 03:29:17,60+0
saxwellrs,lewisiii,0-1,2013-01-01 03:31:06,900+8
cougar1,xmaschess,0-1,2013-01-01 03:20:34,600+0
pozitiv,raptureinvenice,0-1,2013-01-01 03:22:18,840+14
cheesedout,ben_dover,0-1,2013-01-01 03:32:17,60+0
migsan,yehshua,0-1,2013-01-01 03:33:13,420+0
writinggambler,alexey_k,1-0,2013-01-01 03:33:58,1800+30
maklaud695,masterstheven,1-0,2013-01-01 03:34:21,240+1
garlic,viktoriya,1-0,2013-01-01 03:34:47,0+1
garlic,vanillashamanilla,1-0,2013-01-01 03:37:24,0+1
crazy2013,marzinkus,0-1,2013-01-01 03:37:22,360+8
yehshua,pozitiv,1-0,2013-01-01 03:38:51,840+14
tiggran,dissident_with_love,1-0,2013-01-01 03:39:37,300+0
migsan,khan,0-1,2013-01-01 03:40:16,420+0
masterstheven,thiago,0-1,2013-01-01 03:42:16,60+0
maklaud695,vegeta,0-1,2013-01-01 03:44:17,300+0
lewisiii,khan,0-1,2013-01-01 03:45:21,300+8
gsmaldone,metrolog,0-1,2013-01-01 03:46:43,240+4
tiggran,adamsrj,1-0,2013-01-01 03:47:32,300+0
masterstheven,cheesedout,0-1,2013-01-01 03:49:05,60+0
garlic,thiago,0-1,2013-01-01 03:49:15,60+0
tiggran,blizz,1-0,2013-01-01 03:36:36,240+0
vegeta,maklaud695,1-0,2013-01-01 03:49:51,300+0
adamsrj,tiggran,0-1,2013-01-01 03:50:27,300+0
link,ilovemyself,0-1,2013-01-01 03:50:35,300+0
xiaoqiao,cheesedout,0-1,2013-01-01 03:51:09,60+0
tiggran,adamsrj,1/2-1/2,2013-01-01 03:53:06,300+0
cheesedout,xiaoqiao,0-1,2013-01-01 03:53:13,60+0
gregosaurus,matru,1-0,2013-01-01 03:53:16,900+9
georgek,dangercat,0-1,2013-01-01 03:53:25,300+2
kingjones30,khan,1-0,2013-01-01 03:53:50,300+8
thiago,tinieblas,0-1,2013-01-01 03:54:57,60+0
la-la-la,leon_gambetta,1-0,2013-01-01 03:55:33,900+0
919191,luuletaja,1-0,2013-01-01 03:55:39,300+12
pozitiv,ilovemyself,1-0,2013-01-01 03:56:50,840+14
xiaoqiao,cheesedout,1-0,2013-01-01 03:57:15,60+0
vegeta,ziggler,1-0,2013-01-01 03:57:47,300+0
tinieblas,thiago,1-0,2013-01-01 03:57:59,60+0
spaces,metrolog,0-1,2013-01-01 03:58:22,300+8
cheesedout,xiaoqiao,0-1,2013-01-01 03:58:42,60+0
xiaoqiao,cheesedout,1-0,2013-01-01 03:59:58,60+0
cheesedout,xiaoqiao,0-1,2013-01-01 04:00:32,60+0
lamobot,voltvolf,0-1,2013-01-01 04:00:35,180+3
tinieblas,hiio_asakura,1-0,2013-01-01 04:00:42,60+0
xiaoqiao,cheesedout,1-0,2013-01-01 04:02:44,60+0
mjordanlutz,maxpax,1-0,2013-01-01 04:01:08,300+8
cheesedout,xiaoqiao,0-1,2013-01-01 04:05:18,60+0
pes69z28,fistfullofbastard,1-0,2013-01-01 04:05:38,480+0
voltvolf,marzinkus,0-1,2013-01-01 04:06:09,600+5
alexey_k,gregosaurus,1-0,2013-01-01 04:06:20,900+9
cheesedout,ben_dover,0-1,2013-01-01 04:07:45,60+0
mk9,cougar1,0-1,2013-01-01 04:09:01,300+8
tiggran,treehugger,1-0,2013-01-01 04:13:22,300+0
milligan,samijoon,1/2-1/2,2013-01-01 04:15:48,900+0
tiggran,metrolog,1-0,2013-01-01 04:16:07,300+0
xadrez80,atomicangel,0-1,2013-01-01 04:19:11,180+0
khan,vblack,0-1,2013-01-01 04:17:58,180+3
atomicangel,vegeta,0-1,2013-01-01 04:06:11,300+0
vblack,pozitiv,1-0,2013-01-01 04:20:27,840+14
cheesedout,xiaoqiao,0-1,2013-01-01 04:20:34,60+0
tiggran,_viper_,0-1,2013-01-01 04:21:51,300+0
cougar1,mk9,1-0,2013-01-01 04:22:18,300+8
vanillashamanilla,menssser,0-1,2013-01-01 04:23:29,300+0
cheesedout,xiaoqiao,1-0,2013-01-01 04:23:38,60+0
ronis,writinggambler,1-0,2013-01-01 04:24:29,660+8
oilmanesh,cheesedout,0-1,2013-01-01 04:25:45,60+0
metrolog,marzinkus,0-1,2013-01-01 04:26:06,600+5
opptimyst,treehugger,0-1,2013-01-01 04:26:32,120+0
xiaoqiao,thiago,1-0,2013-01-01 04:26:45,60+0
froonsan,khan,1-0,2013-01-01 04:28:02,600+15
atomicangel,ghost_lombardi,0-1,2013-01-01 04:28:01,180+0
cheesedout,oilmanesh,1-0,2013-01-01 04:28:12,60+0
mk9,cougar1,0-1,2013-01-01 04:30:11,300+8
oilmanesh,cheesedout,0-1,2013-01-01 04:30:49,60+0
xiaoqiao,thiago,1-0,2013-01-01 04:30:57,60+0
treehugger,lamobot,1-0,2013-01-01 04:30:41,180+3
froonsan,khan,1-0,2013-01-01 04:31:07,600+15
alexey_k,froonsan,1-0,2013-01-01 04:32:08,600+15
msusngi,leon_gambetta,0-1,2013-01-01 04:32:01,900+0
ptdhina,veter1611,0-1,2013-01-01 04:32:14,540+5
ghost_lombardi,atomicangel,1-0,2013-01-01 04:32:41,180+0
psonio,oilmanesh,1-0,2013-01-01 04:33:28,240+0
as17,_viper_,0-1,2013-01-01 04:34:12,60+2
vlad,hephesto,1-0,2013-01-01 04:35:26,0+1
hephesto,vlad,1-0,2013-01-01 04:37:21,0+1
pozitiv,robusto,0-1,2013-01-01 04:37:48,840+14
as17,blizz,1-0,2013-01-01 04:37:54,240+0
hephesto,_viper_,0-1,2013-01-01 04:43:04,60+2
_viper_,vlad,1-0,2013-01-01 04:38:59,60+2
as17,ghost_lombardi,0-1,2013-01-01 04:46:19,300+0
lamobot,metrolog,0-1,2013-01-01 04:46:37,180+3
4lawsdotcom,gsmaldone,1-0,2013-01-01 04:49:49,480+4
psonio,khan,1-0,2013-01-01 04:51:16,240+0
metrolog,lamobot,0-1,2013-01-01 04:51:29,180+3
adrnlnnjectd,spaces,0-1,2013-01-01 04:53:36,600+10
_viper_,ptdhina,0-1,2013-01-01 04:54:06,60+2
hephesto,_viper_,1-0,2013-01-01 04:46:53,60+2
nazer,dangercat,0-1,2013-01-01 04:54:51,540+0
robusto,pozitiv,1-0,2013-01-01 04:55:49,840+14
ptdhina,_viper_,0-1,2013-01-01 04:57:21,60+2
lamobot,metrolog,1-0,2013-01-01 04:58:49,180+3
_viper_,ptdhina,0-1,2013-01-01 04:58:56,60+2
khan,marzinkus,0-1,2013-01-01 04:59:36,300+8
ptdhina,_viper_,0-1,2013-01-01 05:04:06,60+2
nazer,jorespi,0-1,2013-01-01 05:05:22,540+0
_viper_,ptdhina,0-1,2013-01-01 05:06:45,60+2
ptdhina,_viper_,1-0,2013-01-01 05:09:51,60+2
lamobot,metrolog,1-0,2013-01-01 05:11:09,180+3
atomicangel,sakrat,1-0,2013-01-01 05:12:36,180+3
pozitiv,pes69z28,1-0,2013-01-01 05:13:13,840+14
_viper_,ptdhina,1-0,2013-01-01 05:13:09,60+2
pes69z28,pozitiv,1-0,2013-01-01 05:14:13,840+14
nichiren1967,tinieblas,0-1,2013-01-01 05:14:19,60+1
spaces,adrnlnnjectd,1-0,2013-01-01 05:14:53,300+8
lamobot,coldest,1-0,2013-01-01 05:15:53,180+1
garlic,richard_xii,1-0,2013-01-01 05:17:41,0+1
cheesedout,nichiren1967,1-0,2013-01-01 05:17:45,60+0
ptdhina,_viper_,0-1,2013-01-01 05:17:55,60+2
garlic,richard_xii,1-0,2013-01-01 05:18:04,0+3
matru,arun,0-1,2013-01-01 05:18:24,600+10
nazer,maclanie,0-1,2013-01-01 05:19:04,540+0
vanillashamanilla,srsbusnes,0-1,2013-01-01 05:19:50,120+0
_viper_,ptdhina,1-0,2013-01-01 05:19:50,60+2
nichiren1967,cheesedout,1-0,2013-01-01 05:20:12,60+0
cheesedout,nichiren1967,1-0,2013-01-01 05:22:48,60+0
arun,jorespi,1-0,2013-01-01 05:22:55,300+4
adrnlnnjectd,3xaxa,0-1,2013-01-01 05:23:10,300+8
garlic,vanillashamanilla,1-0,2013-01-01 05:24:30,0+1
ptdhina,_viper_,0-1,2013-01-01 05:24:05,60+2
maclanie,3xaxa,0-1,2013-01-01 05:15:14,300+8
dipankar,psonio,1/2-1/2,2013-01-01 05:25:26,300+3
spaces,adrnlnnjectd,1-0,2013-01-01 05:25:47,300+8
cheesedout,nichiren1967,0-1,2013-01-01 05:25:52,60+0
donchester,marzinkus,0-1,2013-01-01 05:25:57,600+5
_viper_,ptdhina,1-0,2013-01-01 05:27:24,60+2
nichiren1967,cheesedout,0-1,2013-01-01 05:28:11,60+0
pes69z28,pozitiv,1-0,2013-01-01 05:28:38,840+14
4lawsdotcom,khan,0-1,2013-01-01 05:28:45,480+4
vanillashamanilla,m3hran,1-0,2013-01-01 05:25:46,300+0
garlic,maclanie,1-0,2013-01-01 05:28:59,0+1
ptdhina,_viper_,0-1,2013-01-01 05:29:47,60+2
sayantan,maclanie,1-0,2013-01-01 05:30:25,60+10
cheesedout,nichiren1967,0-1,2013-01-01 05:30:37,60+0
chinni,jorespi,0-1,2013-01-01 05:31:59,240+4
ff4,arun,1-0,2013-01-01 05:32:27,300+10
nichiren1967,cheesedout,1-0,2013-01-01 05:33:24,60+0
cheesedout,nichiren1967,1-0,2013-01-01 05:35:14,60+0
jorespi,spaces,1-0,2013-01-01 05:36:18,300+8
2013_january,robusto,1-0,2013-01-01 05:36:40,300+16
nichiren1967,cheesedout,1-0,2013-01-01 05:37:23,60+0
hostking,marzinkus,1-0,2013-01-01 05:38:46,540+0
garlic,donchester,1-0,2013-01-01 05:38:53,0+1
cheesedout,nichiren1967,1-0,2013-01-01 05:39:00,60+0
lalara,dipankar,1-0,2013-01-01 05:39:51,180+0
arina1999,_viper_,1-0,2013-01-01 05:40:57,60+3
nichiren1967,cheesedout,0-1,2013-01-01 05:41:53,60+0
sakrat,psonio,1-0,2013-01-01 05:40:58,180+3
donchester,ostap,1-0,2013-01-01 05:42:29,300+3
veter1611,famcaliap,0-1,2013-01-01 05:42:58,540+5
driverblag,maclanie,1-0,2013-01-01 05:43:11,360+2
cheesedout,nichiren1967,1-0,2013-01-01 05:44:40,60+0
_viper_,arina1999,0-1,2013-01-01 05:45:35,60+3
psonio,sakrat,1-0,2013-01-01 05:45:42,180+3
dipankar,evg,1-0,2013-01-01 05:46:17,300+0
lalara,khan,1-0,2013-01-01 05:47:16,180+0
nichiren1967,cheesedout,1/2-1/2,2013-01-01 05:47:24,60+0
2013_january,parsh,1-0,2013-01-01 05:48:07,300+20
evg,dipankar,0-1,2013-01-01 05:48:19,300+0
driverblag,bjagus,0-1,2013-01-01 05:49:24,360+2
cheesedout,nichiren1967,1-0,2013-01-01 05:49:53,60+0
arina1999,_viper_,1-0,2013-01-01 05:49:56,60+3
nichiren1967,cheesedout,1-0,2013-01-01 05:52:43,60+0
dipankar,ralphhh,0-1,2013-01-01 05:53:08,300+3
nazer,arun,0-1,2013-01-01 05:49:58,540+0
vincenzo2691,sakrat,0-1,2013-01-01 05:53:22,180+3
_viper_,arina1999,0-1,2013-01-01 05:54:04,60+3
hostking,jorespi,1-0,2013-01-01 05:54:18,540+0
cheesedout,nichiren1967,1-0,2013-01-01 05:54:19,60+0
garlic,oilmanesh,1-0,2013-01-01 05:55:34,60+0
nichiren1967,cheesedout,1-0,2013-01-01 05:56:38,60+0
ostap,crazy2013,1-0,2013-01-01 05:56:56,300+3
4lawsdotcom,verminard,0-1,2013-01-01 05:57:19,480+4
cheesedout,nichiren1967,1-0,2013-01-01 05:58:26,60+0
oilmanesh,namesnik,1-0,2013-01-01 05:57:56,60+0
parsh,marzinkus,0-1,2013-01-01 05:58:31,600+5
tomi,elquesoy,1-0,2013-01-01 06:00:19,420+1
bjagus,dipankar,1-0,2013-01-01 06:00:27,120+3
bulletkiller,namesnik,0-1,2013-01-01 06:00:32,0+1
nichiren1967,cheesedout,0-1,2013-01-01 06:01:12,60+0
arina1999,_viper_,0-1,2013-01-01 06:01:16,60+3
jorespi,ostap,1-0,2013-01-01 06:01:26,300+3
garlic,namesnik,1-0,2013-01-01 06:02:38,60+0
sakrat,vincenzo2691,1-0,2013-01-01 06:02:51,180+3
spaces,pozitiv,1-0,2013-01-01 06:03:23,840+14
nichiren1967,cheesedout,0-1,2013-01-01 06:04:34,60+0
dipankar,bjagus,0-1,2013-01-01 06:06:31,120+3
verminard,4lawsdotcom,1-0,2013-01-01 06:05:42,480+4
cheesedout,nichiren1967,1-0,2013-01-01 06:07:23,60+0
_viper_,arina1999,1-0,2013-01-01 06:07:35,60+3
pozitiv,spaces,0-1,2013-01-01 06:08:22,840+14
parsh,marzinkus,0-1,2013-01-01 06:08:27,600+5
ostrak11,mufasa,1-0,2013-01-01 06:08:54,240+0
famcaliap,gilberthoy,1-0,2013-01-01 06:08:58,600+11
gilberthoy,famcaliap,0-1,2013-01-01 06:09:52,600+11
nichiren1967,cheesedout,1-0,2013-01-01 06:10:09,60+0
cheesedout,nichiren1967,1-0,2013-01-01 06:12:24,60+0
bulletkiller,aquatica,1-0,2013-01-01 06:13:09,0+1
schutzstaffel,ben_dover,0-1,2013-01-01 06:13:40,60+0
nichiren1967,cheesedout,0-1,2013-01-01 06:15:04,60+0
spaces,pozitiv,1-0,2013-01-01 06:15:18,840+14
arina1999,_viper_,1-0,2013-01-01 06:15:38,60+3
dipankar,ostap,1-0,2013-01-01 06:15:50,300+3
tomi,m0de,1-0,2013-01-01 06:15:56,420+1
schutzstaffel,elquesoy,1-0,2013-01-01 06:16:36,60+0
rus2012,aquatica,1-0,2013-01-01 06:17:02,240+1
cheesedout,nichiren1967,1-0,2013-01-01 06:17:53,60+0
_viper_,arina1999,0-1,2013-01-01 06:18:23,60+3
delaza62,crazy2013,1-0,2013-01-01 06:11:25,480+5
psonio,chenstix,1-0,2013-01-01 06:11:57,240+0
nichiren1967,cheesedout,0-1,2013-01-01 06:18:53,60+0
elquesoy,psonio,0-1,2013-01-01 06:19:21,240+0
arina1999,_viper_,1-0,2013-01-01 06:21:25,60+3
cheesedout,nichiren1967,1-0,2013-01-01 06:21:43,60+0
daredevil,samdegregori,0-1,2013-01-01 06:22:00,900+10
ddj,blizz,1-0,2013-01-01 06:22:08,240+0
aquatica,rus2012,0-1,2013-01-01 06:23:01,240+1
nichiren1967,cheesedout,1/2-1/2,2013-01-01 06:23:16,60+0
pozitiv,spaces,1-0,2013-01-01 06:23:17,840+14
dobro55,psonio,1-0,2013-01-01 06:15:59,300+0
elquesoy,mufasa,1-0,2013-01-01 06:25:58,300+5
cheesedout,nichiren1967,1-0,2013-01-01 06:26:09,60+0
schutzstaffel,arina1999,1-0,2013-01-01 06:26:34,60+0
rus2012,ddj,0-1,2013-01-01 06:27:09,240+1
garlic,_viper_,1-0,2013-01-01 06:28:02,0+1
psonio,atomicangel,0-1,2013-01-01 06:27:16,240+0
nichiren1967,cheesedout,1-0,2013-01-01 06:28:50,60+0
schutzstaffel,arina1999,0-1,2013-01-01 06:28:52,60+0
parsh,marzinkus,0-1,2013-01-01 06:29:02,600+5
garlic,_viper_,1-0,2013-01-01 06:29:13,0+1
dipankar,burina,0-1,2013-01-01 06:30:16,300+2
cheesedout,nichiren1967,1-0,2013-01-01 06:31:50,60+0
garlic,_viper_,1-0,2013-01-01 06:32:22,0+1
garlic,_viper_,0-1,2013-01-01 06:30:24,0+1
bagyula,ostap,1-0,2013-01-01 06:33:43,300+3
nichiren1967,cheesedout,0-1,2013-01-01 06:33:57,60+0
garlic,_viper_,0-1,2013-01-01 06:34:10,0+1
rickstar19,johnua,0-1,2013-01-01 06:34:11,60+10
ddj,rus2012,0-1,2013-01-01 06:34:30,240+1
psonio,arina1999,0-1,2013-01-01 06:35:11,240+0
cheesedout,nichiren1967,1-0,2013-01-01 06:36:46,60+0
garlic,_viper_,0-1,2013-01-01 06:36:37,60+2
mihasah,aminemaxime,1-0,2013-01-01 06:37:28,300+5
masterstheven,maklaud695,0-1,2013-01-01 06:37:30,240+1
spaces,youcheckimate,0-1,2013-01-01 06:37:48,300+8
cheesedout,nichiren1967,1-0,2013-01-01 06:39:45,60+0
hostking,leon_gambetta,1-0,2013-01-01 06:39:51,900+0
mailtoilan,troepianiz,1-0,2013-01-01 06:41:09,600+8
burina,dipankar,1-0,2013-01-01 06:41:32,300+2
maklaud695,masterstheven,1-0,2013-01-01 06:44:13,240+1
arina1999,_viper_,1-0,2013-01-01 06:44:15,60+3
lalara,aminemaxime,0-1,2013-01-01 06:45:15,180+0
elquesoy,psonio,0-1,2013-01-01 06:45:46,240+0
xiaoqiao,yeshi,0-1,2013-01-01 06:46:53,120+0
lalara,dipo_a,1-0,2013-01-01 06:36:23,180+0
cukaruchay,bagyula,1-0,2013-01-01 06:47:15,300+5
dipankar,burina,1-0,2013-01-01 06:47:21,300+2
_viper_,arina1999,0-1,2013-01-01 06:47:47,60+3
maklaud695,masterstheven,1-0,2013-01-01 06:48:54,240+1
patan2003,h4rdy,1-0,2013-01-01 06:49:07,420+3
spaces,parsh,0-1,2013-01-01 06:50:25,300+8
yeshi,xiaoqiao,0-1,2013-01-01 06:51:10,120+0
nichiren1967,ddj,1-0,2013-01-01 06:51:57,60+1
rodney,aminemaxime,0-1,2013-01-01 06:52:17,480+0
psonio,elquesoy,1-0,2013-01-01 06:43:28,240+0
elquesoy,marzinkus,0-1,2013-01-01 06:52:57,180+0
arina1999,_viper_,1-0,2013-01-01 06:53:05,60+3
masterstheven,maklaud695,1-0,2013-01-01 06:55:37,240+1
ddj,elquesoy,1-0,2013-01-01 06:57:11,120+2
yeshi,xiaoqiao,0-1,2013-01-01 06:56:45,120+0
aggresivenapk1n,johnua,1-0,2013-01-01 06:57:39,60+10
nichiren1967,ptdhina,1-0,2013-01-01 06:58:19,60+1
arina1999,atomicangel,1-0,2013-01-01 07:00:22,180+0
xiaoqiao,yeshi,0-1,2013-01-01 06:52:29,120+0
daredevil,uytku,1-0,2013-01-01 07:00:32,900+10
tolik_mmm,delaza62,1/2-1/2,2013-01-01 07:01:49,480+5
ptdhina,nichiren1967,0-1,2013-01-01 07:03:02,60+1
patan2003,eldorado,1-0,2013-01-01 07:03:48,420+3
burina,parsh,1-0,2013-01-01 07:03:57,300+2
masterstheven,sakrat,0-1,2013-01-01 07:05:27,180+3
bulletplay,_viper_,0-1,2013-01-01 07:05:40,0+1
maklaud695,terracota,1-0,2013-01-01 07:06:05,240+1
nichiren1967,yeshi,1-0,2013-01-01 07:06:36,60+1
johnua,arun,0-1,2013-01-01 07:06:43,60+10
arun,johnua,0-1,2013-01-01 07:07:47,60+10
sakrat,masterstheven,1-0,2013-01-01 07:09:13,180+3
ddj,bulletplay,0-1,2013-01-01 07:07:51,120+2
nichiren1967,yeshi,0-1,2013-01-01 07:09:24,60+1
johnua,arun,0-1,2013-01-01 07:11:40,60+10
naitero_nagasaki,troepianiz,1-0,2013-01-01 07:11:43,300+8
atomicangel,arina1999,0-1,2013-01-01 07:12:25,180+0
namesnik,veter1611,0-1,2013-01-01 07:13:36,540+5
masterstheven,sakrat,0-1,2013-01-01 07:15:15,180+3
eldorado,patan2003,1-0,2013-01-01 07:17:45,420+3
atomicangel,arina1999,1-0,2013-01-01 07:18:41,60+3
sakrat,masterstheven,0-1,2013-01-01 07:18:56,180+3
jsalemal-55,tani_danilova,1-0,2013-01-01 07:19:35,900+12
gez,akayhan,0-1,2013-01-01 07:19:45,300+1
arun,johnua,1-0,2013-01-01 07:19:48,60+10
burina,troepianiz,0-1,2013-01-01 07:21:39,300+2
savinka59,maklaud695,1-0,2013-01-01 07:16:07,240+1
johnua,arun,0-1,2013-01-01 07:22:27,60+10
ddj,naitero_nagasaki,0-1,2013-01-01 07:21:00,120+2
sakrat,maklaud695,0-1,2013-01-01 07:23:36,240+1
bulletplay,zizigolo,1-0,2013-01-01 07:26:23,0+1
arun,johnua,1-0,2013-01-01 07:28:12,60+10
rus2012,baracuda,0-1,2013-01-01 07:29:46,300+8
gez,ajay_jangir,1-0,2013-01-01 07:33:29,300+1
mihasah,akayhan,1/2-1/2,2013-01-01 07:30:23,300+5
maklaud695,marzinkus,0-1,2013-01-01 07:31:15,600+5
ddj,naitero_nagasaki,0-1,2013-01-01 07:34:04,180+2
