white,black,result,utc_date_time,time_control
schutzstaffel,giao,1-0,2012-12-31 23:46:57,60+0
gardo,boss92,1-0,2012-12-31 23:47:01,60+0
1000,t4nk,1-0,2012-12-31 23:47:08,0+1
schutzstaffel,ricodelacasita,1-0,2012-12-31 23:51:46,60+0
ricodelacasita,cheesedout,0-1,2012-12-31 23:47:29,60+0
pseudoknight,nujabes,1-0,2012-12-31 23:47:41,60+1
t4nk,1000,0-1,2012-12-31 23:48:16,0+1
schutzstaffel,giao,1-0,2012-12-31 23:49:17,60+0
boss92,gardo,0-1,2012-12-31 23:49:23,60+0
1000,t4nk,1-0,2012-12-31 23:49:36,0+1
fifthcategory,chinokoli,1-0,2012-12-31 23:50:19,180+0
b777,marzinkus,0-1,2012-12-31 23:51:00,360+6
cheesedout,krieg,1-0,2012-12-31 23:51:14,60+0
nujabes,ben_dover,0-1,2012-12-31 23:52:57,60+0
maslick,hostking,1-0,2012-12-31 23:51:19,540+0
gardo,boss92,1-0,2012-12-31 23:51:43,60+0
jorespi,sanuch111,1-0,2012-12-31 23:51:38,300+4
sig,desmond_wilson,1-0,2012-12-31 23:51:45,420+9
t4nk,1000,0-1,2012-12-31 23:52:35,0+1
kyklades,mariss,1-0,2012-12-31 23:52:43,240+0
krieg,cheesedout,1-0,2012-12-31 23:53:30,60+0
1000,t4nk,1-0,2012-12-31 23:53:32,0+1
tarasss,djarfur,0-1,2012-12-31 23:53:36,180+0
t4nk,1000,0-1,2012-12-31 23:53:53,0+1
schutzstaffel,heypepito,1-0,2012-12-31 23:53:33,60+0
1000,t4nk,1-0,2012-12-31 23:55:28,0+1
fifthcategory,chinokoli,1-0,2012-12-31 23:56:27,180+0
schutzstaffel,nujabes,1-0,2012-12-31 23:56:31,60+0
papachaco,metrolog,1-0,2012-12-31 23:56:47,300+0
t4nk,1000,1-0,2012-12-31 23:56:58,0+1
ricodelacasita,cheesedout,1-0,2012-12-31 23:57:15,60+0
mariss,kyklades,1/2-1/2,2012-12-31 23:58:36,240+0
1000,t4nk,1-0,2012-12-31 23:58:51,0+1
ghosty,angrom,0-1,2012-12-31 23:59:24,240+0
schutzstaffel,nujabes,1-0,2012-12-31 23:59:36,60+0
airtsart,neuronchess,1-0,2012-12-31 23:59:44,480+0
tiggran,boss92,1-0,2013-01-01 00:00:00,60+0
legendary_erfan,cheesedout,0-1,2013-01-01 00:00:20,60+0
