white,black,result,utc_date_time,time_control
angarsk,gosha,1/2-1/2,2013-01-13 06:11:13,300+3
wrack,thiago,1-0,2013-01-13 06:11:53,60+1
tyier,paoloxiii,0-1,2013-01-13 06:13:34,480+7
thiago,wrack,1-0,2013-01-13 06:14:08,60+1
desmond_wilson,stepan9,1-0,2013-01-13 06:14:08,300+10
daredevil,pozitiv,1-0,2013-01-13 06:14:16,900+10
ghost_lombardi,paranganski,1-0,2013-01-13 06:14:46,180+0
rapitrance,edivillela,1-0,2013-01-13 06:14:58,120+0
papachaco,silverbrutus,0-1,2013-01-13 06:15:41,180+0
